Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
30,30,JP,9781442310964,Japanese 3,2,,,04R,,F,お仕事は？,oshigoto wa?,2,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0030.mp3,"7,20"
31,31,JP,9781442310964,Japanese 3,2,,,05Q,,N,I'll take a picture.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0031.mp3,"1,9"
32,32,JP,9781442310964,Japanese 3,2,,,05R,,M,写真を撮ります。,shashin o torimasu.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0032.mp3,"1,9"
33,33,JP,9781442310964,Japanese 3,2,,,06Q,,N,I take a picture often.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0033.mp3,"1,9"
34,34,JP,9781442310964,Japanese 3,2,,,06R,,M,よく写真を撮ります。,yoku shashin o torimasu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0034.mp3,"1,9"
35,35,JP,9781442310964,Japanese 3,2,,,07Q,,N,I took a picture.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0035.mp3,"1,9"
36,36,JP,9781442310964,Japanese 3,2,,,07R,,M,写真を撮りました。,shashin o torimashita.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0036.mp3,"1,9"
37,37,JP,9781442310964,Japanese 3,2,,,08Q,,N,As for the job? (polite),,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0037.mp3,"13,20"
38,38,JP,9781442310964,Japanese 3,2,,,08R,,M,お仕事は何ですか。,oshigoto wa nan desu ka.,5,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0038.mp3,"13,20"
39,39,JP,9781442310964,Japanese 3,2,,,09Q,,N,I came from New York.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0039.mp3,"7,10"
40,40,JP,9781442310964,Japanese 3,2,,,09R,,F,ニューヨークから来ました。,nyuu yooku kara kimashita.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0040.mp3,"7,10"
41,41,JP,9781442310964,Japanese 3,2,,,10Q,,N,I'll stay three weeks.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0041.mp3,"12,17,18"
42,42,JP,9781442310964,Japanese 3,2,,,10R,,F,三週間います。,san shukan imasu.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0042.mp3,"12,17,18"
43,43,JP,9781442310964,Japanese 3,2,,,11Q,,N,Until next year's summer.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0043.mp3,"9,17"
44,44,JP,9781442310964,Japanese 3,2,,,11R,,F,来年の夏まで。,rai nen no natsu made.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0044.mp3,"9,17"
45,45,JP,9781442310964,Japanese 3,3,,,01Q,,N,At an American school.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0045.mp3,9
46,46,JP,9781442310964,Japanese 3,3,,,01R,,M,アメリカの学校で。,amerika no gakko de.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0046.mp3,9
47,47,JP,9781442310964,Japanese 3,3,,,02Q,,N,I learned it at school.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0047.mp3,9
48,48,JP,9781442310964,Japanese 3,3,,,02R,,M,学校で習いました。,gakko de naraimashita.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0048.mp3,9
49,49,JP,9781442310964,Japanese 3,3,,,03Q,,N,Where did you learn?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0049.mp3,9
50,50,JP,9781442310964,Japanese 3,3,,,03R,,F,どこで習いましたか。,doko de naraimashita ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0050.mp3,9
51,51,JP,9781442310964,Japanese 3,3,,,04Q,,N,"No, not yet.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0051.mp3,"7,9"
